date,no1,no2,no3,no4,no5
2014-01-03 02:00:00,0.713705,-0.161038,1.151445,-1.015849,-0.314092
2014-01-03 03:00:00,2.398302,1.788676,-0.092760,1.464685,0.143962
2014-01-03 04:00:00,-0.111158,-0.971227,0.423389,-2.287592,0.221143
2014-01-03 05:00:00,-0.188483,-0.276036,0.725129,-0.413103,-0.267733
2014-01-03 06:00:00,-0.329510,-0.574906,0.758354,-0.010964,-0.367768
2014-01-03 07:00:00,-0.060659,1.020170,0.098170,-0.628042,0.366856
2014-01-03 08:00:00,0.447954,-0.069956,2.369763,-0.015447,1.016723
2014-01-03 09:00:00,-0.137005,0.567849,0.395884,-2.369603,-2.413979
2014-01-03 10:00:00,0.746151,1.576450,-0.718818,-0.068437,-0.532818
2014-01-03 11:00:00,-0.891335,1.225058,-0.126398,-1.273270,-1.247375
2014-01-03 12:00:00,-0.318130,-0.157193,1.849750,-2.203460,-0.698852
2014-01-03 13:00:00,0.739528,-2.042069,-0.528542,-0.219042,-0.843954
2014-01-03 14:00:00,0.372322,1.216689,0.000584,0.469303,-0.499250
2014-01-03 15:00:00,-0.459624,0.597392,-0.352287,-0.091655,2.167888
2014-01-03 16:00:00,2.122064,0.067273,-1.202767,1.869590,-0.689587
2014-01-03 17:00:00,0.745781,-0.474226,0.065163,-1.108906,-0.366003
2014-01-03 18:00:00,1.030240,0.339821,1.823434,0.086855,-1.409362
2014-01-03 19:00:00,-0.441251,-0.238256,-1.160162,0.332024,-0.129084
2014-01-03 20:00:00,0.076327,1.520731,-1.242552,0.574787,-0.729846
2014-01-03 21:00:00,-0.447145,-0.644489,1.190485,-0.261823,-0.096625
2014-01-03 22:00:00,-0.517925,-1.051114,-2.300772,0.665096,2.302464
2014-01-03 23:00:00,0.740493,-0.156222,-0.874200,0.525137,0.656618
2014-01-04 00:00:00,-0.255713,-1.470663,0.245442,0.917577,1.353653
2014-01-04 01:00:00,-1.827465,1.394869,1.379452,0.388051,-1.757604
2014-01-04 02:00:00,-0.579101,0.584559,0.283503,0.144750,-0.070017
2014-01-04 03:00:00,1.778528,0.188259,-0.889402,-0.900344,-0.644073
2014-01-04 04:00:00,0.938112,0.432759,-1.143238,-1.700942,0.977832
2014-01-04 05:00:00,0.270180,0.511933,1.488053,-0.050019,0.079935
2014-01-04 06:00:00,-0.377927,0.400480,0.000416,-0.407715,0.456683
2014-01-04 07:00:00,0.754870,-2.521167,0.839812,1.447294,-0.149006
2014-01-04 08:00:00,0.057706,0.658625,1.155681,-0.429773,-0.102279
2014-01-04 09:00:00,-0.049212,-0.104915,-0.991291,0.444422,-1.721315
2014-01-04 10:00:00,-1.824000,-0.747097,0.744679,0.919977,-1.260113
2014-01-04 11:00:00,0.960588,-0.253062,0.580243,1.286806,-0.258956
2014-01-04 12:00:00,-2.931167,0.971131,0.084377,-0.988864,0.191660
2014-01-04 13:00:00,0.447285,1.139049,0.073420,-0.556724,-0.500815
2014-01-04 14:00:00,-0.615560,0.388217,0.869792,0.585231,-0.417494
2014-01-04 15:00:00,0.221235,0.648706,-0.232131,0.156848,2.118880
2014-01-04 16:00:00,0.136783,0.262355,1.676989,1.083190,0.367680
2014-01-04 17:00:00,0.267369,-0.193934,-1.402866,-1.384568,-0.318156
2014-01-04 18:00:00,-1.666294,-0.753168,0.314729,-1.213755,2.087710
2014-01-04 19:00:00,1.473276,-0.936317,0.300864,-0.940412,0.408986
2014-01-04 20:00:00,-0.840914,-1.341037,-0.905824,0.479610,-1.409389
2014-01-04 21:00:00,0.197426,1.036678,0.344622,1.250654,0.160724
2014-01-04 22:00:00,1.956931,0.243943,-0.648596,-0.107585,0.760604
2014-01-04 23:00:00,0.312461,1.450051,-1.248436,1.712496,-1.329767
2014-01-05 00:00:00,2.052127,1.903257,1.199932,0.061389,0.105559
2014-01-05 01:00:00,-0.573923,0.488655,0.335665,-0.248564,-0.110927
2014-01-05 02:00:00,0.790896,0.032477,-0.126518,1.873423,-0.998289
2014-01-05 03:00:00,0.322497,-0.441725,0.598072,0.995234,0.283351
2014-01-05 04:00:00,-0.549827,0.132302,0.126304,0.616724,0.009354
2014-01-05 05:00:00,2.225336,-1.166093,0.615863,-0.564290,1.417020
2014-01-05 06:00:00,-0.930707,0.550194,-0.592182,-1.658293,0.265284
2014-01-05 07:00:00,-0.175514,-0.319501,-0.034122,-0.905616,-2.898496
2014-01-05 08:00:00,-0.843863,1.692039,1.050862,-0.824401,-1.569769
2014-01-05 09:00:00,-2.536841,0.509093,-0.747636,-0.884106,-0.071420
2014-01-05 10:00:00,0.765622,0.376102,-1.060461,-0.170441,0.905583
2014-01-05 11:00:00,-1.554578,-3.042709,1.392032,-1.538421,0.480371
2014-01-05 12:00:00,-0.594280,-0.903865,0.780896,-0.174316,-2.242519
2014-01-05 13:00:00,1.692262,2.400707,-0.508241,0.506227,-0.436023
2014-01-05 14:00:00,0.364724,-1.673926,0.767279,-0.710531,0.543222
2014-01-05 15:00:00,-0.722783,0.021585,-1.689635,0.697454,2.141242
2014-01-05 16:00:00,1.117088,1.438746,-1.670603,1.022378,0.761404
2014-01-05 17:00:00,1.021413,1.285650,0.695106,0.821076,0.953382
2014-01-05 18:00:00,0.122044,-0.701197,0.422368,-2.486958,2.642170
2014-01-05 19:00:00,1.139264,0.146646,0.786861,-0.512990,-0.429709
2014-01-05 20:00:00,1.774667,0.221094,1.582690,-1.511796,0.640653
2014-01-05 21:00:00,-1.166791,-1.242681,-1.530210,-0.788579,-0.045152
2014-01-05 22:00:00,0.407268,0.091068,1.319175,-0.064727,-0.149014
2014-01-05 23:00:00,0.874299,-0.380584,2.091399,0.382217,-0.752885
2014-01-06 00:00:00,1.036366,0.835487,1.907214,0.827562,2.140410
2014-01-06 01:00:00,-2.316312,1.082449,-0.651052,-1.389417,0.908053
2014-01-06 02:00:00,0.203865,2.411167,0.764992,-0.597872,-0.951686
2014-01-06 03:00:00,0.699535,-1.296142,-1.598884,0.536343,0.669303
2014-01-06 04:00:00,0.897739,-0.004516,-0.592233,0.309695,1.229637
2014-01-06 05:00:00,1.902088,-0.637851,0.670894,-0.418880,-1.897363
2014-01-06 06:00:00,0.697488,1.706710,0.767110,1.029510,0.805761
2014-01-06 07:00:00,-1.030114,-0.497113,0.173372,-0.510436,-0.333784
2014-01-06 08:00:00,0.437105,-1.662617,-1.312020,2.285723,-0.066896
2014-01-06 09:00:00,-0.396274,1.028457,1.293649,-2.117082,1.036578
2014-01-06 10:00:00,0.002427,0.879108,-0.625736,-0.953383,-0.262510
2014-01-06 11:00:00,-0.402340,1.424667,-1.142371,0.408647,-0.062267
2014-01-06 12:00:00,1.675189,-0.166345,-0.189662,0.270649,-0.389528
2014-01-06 13:00:00,0.995628,0.406237,0.392792,0.191399,-0.437252
2014-01-06 14:00:00,1.023046,-1.185550,-1.307839,0.710630,-0.744093
2014-01-06 15:00:00,0.181902,-0.358398,0.416994,0.254341,-1.279085
2014-01-06 16:00:00,0.726759,1.314952,1.234091,1.748457,-0.387867
2014-01-06 17:00:00,0.359136,0.261756,0.971577,1.343828,1.081819
2014-01-06 18:00:00,-0.003313,-1.389869,-0.380126,-1.732796,1.382747
2014-01-06 19:00:00,-1.250873,0.212911,0.102658,-0.683948,1.410059
2014-01-06 20:00:00,-0.175595,1.166387,-0.652516,2.182535,0.325097
2014-01-06 21:00:00,1.121262,-1.237147,-0.543557,-0.984952,0.212373
2014-01-06 22:00:00,-0.996472,-0.639293,-0.239231,1.518084,-0.416613
2014-01-06 23:00:00,0.928421,-0.864206,-0.677698,-0.191143,0.919115
2014-01-07 00:00:00,0.603315,-0.381111,-1.364595,1.302039,-0.534437
2014-01-07 01:00:00,1.423152,1.720103,-2.166835,0.934698,0.175709
2014-01-07 02:00:00,-0.277333,3.591473,0.833320,-0.041170,0.887721
2014-01-07 03:00:00,-0.603954,0.423399,1.449899,-0.066955,1.082899
2014-01-07 04:00:00,-0.669313,-0.039258,0.901109,0.276931,1.099180
2014-01-07 05:00:00,0.056109,-0.015398,1.488474,-0.551895,1.509069
2014-01-07 06:00:00,-0.499843,-0.520066,-0.125966,-1.012173,1.056494
2014-01-07 07:00:00,-2.815477,-0.239145,0.151572,-1.563634,-1.546182
2014-01-07 08:00:00,0.330160,-0.547458,-0.351644,-2.369449,-0.597499
2014-01-07 09:00:00,1.715964,-0.214512,-0.127347,-0.419108,0.717750
2014-01-07 10:00:00,1.219851,1.019591,1.566053,0.742420,0.589266
2014-01-07 11:00:00,0.639053,-0.796874,-0.770511,-0.436505,-1.947985
2014-01-07 12:00:00,1.025622,-1.820535,1.270354,-1.095846,0.999469
2014-01-07 13:00:00,-0.201385,0.970744,-0.392457,0.242488,0.041943
2014-01-07 14:00:00,-0.077146,1.221339,0.886476,-1.233406,-0.502266
2014-01-07 15:00:00,1.349297,0.633297,0.859156,0.662624,-0.592987
2014-01-07 16:00:00,-1.199864,0.958792,-1.219140,-0.942404,-0.801135
2014-01-07 17:00:00,-0.059071,0.168310,0.876338,0.863798,0.668979
2014-01-07 18:00:00,-0.380523,-0.918190,-1.758710,-0.651538,-0.055269
2014-01-07 19:00:00,0.915578,1.011708,0.509289,0.584373,-0.486605
2014-01-07 20:00:00,1.073868,0.106389,-0.354469,-1.555388,-0.505249
2014-01-07 21:00:00,0.601781,0.421891,-1.087291,0.128848,-0.357109
2014-01-07 22:00:00,1.033635,-0.118951,0.145522,1.261948,-1.487680
2014-01-07 23:00:00,1.537478,-0.927683,0.827564,-0.913825,-0.966141
2014-01-08 00:00:00,-0.095945,-0.068515,-0.335410,0.029433,-1.252410
2014-01-08 01:00:00,-0.098557,-1.438881,-0.517576,-0.373038,0.479676
2014-01-08 02:00:00,0.743981,1.085696,2.098610,-1.394258,0.259460
2014-01-08 03:00:00,0.070933,0.665830,1.632635,0.921298,-0.294236
2014-01-08 04:00:00,-0.795993,0.344530,-0.007580,-0.734095,0.969623
2014-01-08 05:00:00,-0.540385,0.576343,-0.276048,1.097686,-0.682801
2014-01-08 06:00:00,-0.835600,-0.265615,0.557391,1.525345,0.630075
2014-01-08 07:00:00,-0.909642,0.891898,0.525921,-0.952528,-1.265292
2014-01-08 08:00:00,-0.029896,1.078028,-0.190184,0.301430,-2.791173
2014-01-08 09:00:00,-0.436572,0.106455,1.760669,-0.044147,1.040516
2014-01-08 10:00:00,0.321598,1.696771,-0.533154,0.805718,-0.881209
2014-01-08 11:00:00,-0.455053,0.776904,1.495136,-0.760550,0.360793
2014-01-08 12:00:00,1.090178,-1.128880,-0.675149,0.069980,0.104400
2014-01-08 13:00:00,-1.876044,-1.229803,1.188614,-1.073414,-0.113370
2014-01-08 14:00:00,-0.802358,-0.170434,0.016352,0.222883,-1.281447
2014-01-08 15:00:00,1.304284,1.644466,0.717770,0.313672,-0.604623
2014-01-08 16:00:00,-0.529983,0.330278,-1.483842,0.172098,-0.658800
2014-01-08 17:00:00,0.389818,0.620911,-0.978998,0.906027,-1.326752
2014-01-08 18:00:00,-0.293150,-2.266898,0.842713,1.460712,-0.844229
2014-01-08 19:00:00,1.628938,1.337692,-0.909475,0.627628,0.999213
2014-01-08 20:00:00,0.147475,1.289687,0.284434,-0.245978,-0.321416
2014-01-08 21:00:00,-0.498921,-1.153626,-0.753268,-0.655898,0.918220
2014-01-08 22:00:00,0.549478,0.822116,2.795379,-0.093094,-0.511807
2014-01-08 23:00:00,-1.185553,-0.579047,0.405537,-0.821467,-0.988185
2014-01-09 00:00:00,-0.656774,-1.918114,-0.998548,-0.387797,-0.187358
2014-01-09 01:00:00,1.769080,0.394168,0.547873,0.103856,-2.046907
2014-01-09 02:00:00,-1.205246,1.516859,1.734965,-0.468258,-0.164219
2014-01-09 03:00:00,-0.313093,-1.126876,-0.032234,1.530152,-0.638965
2014-01-09 04:00:00,-0.102851,0.488907,1.261816,0.219592,-0.095865
2014-01-09 05:00:00,-0.445020,-2.163037,-0.397541,0.379085,1.794599
2014-01-09 06:00:00,0.510911,1.600214,-0.414693,0.456646,0.863282
2014-01-09 07:00:00,-1.724249,-0.005909,1.705581,-0.186959,-0.894985
2014-01-09 08:00:00,0.288358,-1.112844,0.723421,-1.100819,-0.548168
2014-01-09 09:00:00,-0.332971,1.965386,-0.555733,0.139433,-0.504092
2014-01-09 10:00:00,-0.415307,-1.344168,-1.189719,-0.220774,0.342786
2014-01-09 11:00:00,0.596090,-1.472105,0.203827,1.482675,0.082145
2014-01-09 12:00:00,-1.052121,-0.528552,1.410220,1.263715,-0.570055
2014-01-09 13:00:00,-0.636615,-1.950938,-1.852053,-0.240749,0.843894
2014-01-09 14:00:00,-3.116565,-0.737835,0.538889,-2.047437,1.701424
2014-01-09 15:00:00,0.132857,-0.383688,0.021250,-0.161045,-0.179600
2014-01-09 16:00:00,-0.901557,-0.366676,0.120988,-0.322152,-0.882122
2014-01-09 17:00:00,1.491809,0.709959,1.967155,-0.484096,0.282055
2014-01-09 18:00:00,-0.217946,0.761377,0.649246,-0.629188,-1.113213
2014-01-09 19:00:00,0.612312,0.355918,-0.010809,-0.524315,-1.809247
2014-01-09 20:00:00,-0.556833,-0.512244,0.260669,1.538382,-0.938478
2014-01-09 21:00:00,0.427603,1.230438,-0.130931,-0.802765,0.092293
2014-01-09 22:00:00,1.633469,0.182488,1.300320,0.921600,0.036625
2014-01-09 23:00:00,-0.301153,-0.330114,0.962354,-0.554235,1.249185
2014-01-10 00:00:00,1.400892,-1.833832,-0.363838,-0.125388,-1.323543
2014-01-10 01:00:00,-0.167217,-1.156844,2.069576,-2.387398,0.536406
2014-01-10 02:00:00,0.111786,1.271642,-0.059680,1.059887,-0.407918
2014-01-10 03:00:00,1.185746,1.826534,0.116946,0.160428,0.772024
2014-01-10 04:00:00,0.249817,0.953552,-0.619678,-1.082240,0.929190
2014-01-10 05:00:00,1.568368,-1.318719,-0.394865,-0.176481,-0.958287
2014-01-10 06:00:00,-2.104306,-0.731507,-0.235383,-1.536768,-0.228403
2014-01-10 07:00:00,0.387679,0.031750,1.836645,-0.284461,0.364448
2014-01-10 08:00:00,-0.189043,-0.067086,-0.720633,0.925258,0.305102
2014-01-10 09:00:00,2.421215,-0.949765,1.006352,-0.284226,0.851209
2014-01-10 10:00:00,1.042285,-1.196518,0.269746,-0.666032,-1.038422
2014-01-10 11:00:00,1.044885,0.532136,-0.375109,-0.430671,0.199811
2014-01-10 12:00:00,-0.016333,-1.625032,0.125360,-1.050717,1.034086
2014-01-10 13:00:00,-0.227379,-0.698376,-0.649188,1.376717,1.518688
2014-01-10 14:00:00,-0.047180,0.072320,-0.351456,-1.471717,2.971787
2014-01-10 15:00:00,-1.658546,-0.088477,-0.465003,0.105058,-0.559639
2014-01-10 16:00:00,0.199906,1.695085,0.101675,-0.072492,-0.004910
2014-01-10 17:00:00,-1.636300,-0.854710,0.614545,-1.536046,1.300845
2014-01-10 18:00:00,0.924225,0.766301,0.506176,0.215160,-0.011227
2014-01-10 19:00:00,0.292174,-0.142881,1.620607,-0.519004,1.016281
2014-01-10 20:00:00,-0.593483,-0.285413,1.985405,0.820947,3.117370
2014-01-10 21:00:00,-1.843800,0.530600,1.762728,0.022457,-0.431724
2014-01-10 22:00:00,-1.002600,-0.645580,-1.408337,-0.690756,0.673267
2014-01-10 23:00:00,-1.165218,0.514521,0.532937,-0.127794,-0.277513
2014-01-11 00:00:00,-1.117439,-1.646061,-1.352586,1.015420,0.384593
2014-01-11 01:00:00,0.694349,-0.986398,-1.667750,0.469236,0.834112
2014-01-11 02:00:00,0.910782,-1.487097,-2.647335,-1.258686,-0.820406
2014-01-11 03:00:00,-0.810742,1.075031,-0.254328,-0.462586,-1.989969
2014-01-11 04:00:00,-0.182489,-0.175260,-1.122797,-0.842661,0.083027
2014-01-11 05:00:00,-0.598305,-0.672863,-0.436355,-1.555119,0.103269
2014-01-11 06:00:00,0.104048,-0.339143,1.458408,0.921105,-0.550230
2014-01-11 07:00:00,0.297551,-0.445738,-0.123222,0.319577,-0.182094
2014-01-11 08:00:00,0.148304,-1.235443,0.829592,0.329809,0.420055
2014-01-11 09:00:00,-0.204198,0.274859,-0.496965,1.007736,0.195178
2014-01-11 10:00:00,1.453672,-0.127089,-0.260937,1.129504,-0.224312
2014-01-11 11:00:00,0.499838,-0.400413,-2.204823,-1.295200,1.063465
2014-01-11 12:00:00,2.191449,2.072412,1.030594,0.433724,1.392758
2014-01-11 13:00:00,-0.689710,0.229722,0.490986,-0.533368,0.725177
2014-01-11 14:00:00,0.883834,-0.289698,0.145157,0.253069,0.637846
2014-01-11 15:00:00,0.517220,-0.055189,0.075499,-0.500691,0.422055
2014-01-11 16:00:00,-0.801906,0.342721,0.819666,-0.337485,-1.379552
2014-01-11 17:00:00,-1.330791,1.720088,-0.077950,-1.076353,-0.020353
2014-01-11 18:00:00,0.079701,-0.253528,-0.342792,-0.907460,0.166347
2014-01-11 19:00:00,-1.693962,-0.824450,-0.234494,-0.533484,-0.091226
2014-01-11 20:00:00,1.415857,0.790554,1.334458,-1.260045,0.570081
2014-01-11 21:00:00,-1.019885,-0.521480,-1.642302,-0.416508,-0.037396
2014-01-11 22:00:00,-0.537895,0.747563,0.609993,0.559787,0.007208
2014-01-11 23:00:00,0.915472,0.936416,-0.579565,1.074262,0.044143
2014-01-12 00:00:00,-0.198441,1.147957,-0.366124,1.291544,-0.675393
2014-01-12 01:00:00,0.720301,1.575920,0.042778,0.381106,-0.534532
2014-01-12 02:00:00,-0.114257,0.289826,0.175848,0.752772,1.417519
2014-01-12 03:00:00,0.814443,-0.432292,-2.161043,-0.528911,1.170173
2014-01-12 04:00:00,1.524911,0.497933,-1.030880,0.390834,-0.287112
2014-01-12 05:00:00,-1.099686,0.349414,-1.126361,0.809214,-0.853022
2014-01-12 06:00:00,-0.925926,-0.517688,0.910307,0.563063,0.459742
2014-01-12 07:00:00,1.044403,0.496991,0.415040,-1.735207,-0.217331
2014-01-12 08:00:00,-0.272358,1.217684,-2.322215,0.019776,-0.415657
2014-01-12 09:00:00,0.633277,-1.129069,-0.894478,0.362454,-0.105742
2014-01-12 10:00:00,1.094002,-0.355910,0.136438,0.267225,0.774873
2014-01-12 11:00:00,-0.802916,0.223163,-0.371815,-0.642662,0.304717
2014-01-12 12:00:00,1.561283,-0.839045,-0.836250,0.900793,0.551870
2014-01-12 13:00:00,-0.758531,-0.884728,-0.804786,-1.978982,0.241045
2014-01-12 14:00:00,1.019420,-0.033095,-0.182516,-0.879551,-1.290766
2014-01-12 15:00:00,-0.488391,-0.315814,-0.808544,-1.266301,-0.569332
2014-01-12 16:00:00,-0.816171,0.492555,-1.282442,-0.665388,0.610458
2014-01-12 17:00:00,-0.968445,0.715672,-2.504463,0.813307,0.564309
2014-01-12 18:00:00,0.892618,-0.118735,0.453944,0.375999,0.506999
2014-01-12 19:00:00,-0.174513,0.998005,0.541505,-1.449733,-0.182286
2014-01-12 20:00:00,0.154639,-0.400567,-0.162220,-0.512127,0.121936
2014-01-12 21:00:00,0.866398,-0.327239,1.077463,-2.397980,-1.314349
2014-01-12 22:00:00,0.620795,-1.858902,-0.758823,0.439423,-1.047170
2014-01-12 23:00:00,-1.843489,-1.469952,-0.332762,-0.015655,-1.694191
2014-01-13 00:00:00,0.042577,0.630672,1.446339,-1.154962,-0.773855
2014-01-13 01:00:00,0.648019,0.658800,0.191139,-0.172627,0.151392
2014-01-13 02:00:00,-1.195580,0.381769,0.620312,1.241681,0.035400
2014-01-13 03:00:00,-1.763118,-0.559066,-1.903655,1.273455,1.632005
2014-01-13 04:00:00,-1.141500,0.673558,0.607488,0.632887,0.511600
2014-01-13 05:00:00,0.298879,0.472202,1.243676,-0.669478,-0.203495
2014-01-13 06:00:00,-1.427094,0.696189,-0.999122,-0.200505,-1.576140
2014-01-13 07:00:00,0.375611,-0.315081,-0.524227,-1.274859,-0.484707
2014-01-13 08:00:00,-1.006962,2.670969,-0.157282,1.210864,1.572214
2014-01-13 09:00:00,0.420001,-0.461966,-1.774051,-0.737747,1.693784
2014-01-13 10:00:00,0.137315,0.393630,0.836827,1.363398,0.243461
2014-01-13 11:00:00,-0.153752,0.826023,-0.852380,-1.107824,-1.228740
2014-01-13 12:00:00,1.519680,-2.074595,1.449358,2.570687,0.564348
2014-01-13 13:00:00,1.073798,-0.833594,-1.194924,0.381656,-0.274703
2014-01-13 14:00:00,-0.661758,-0.133715,0.549309,-0.774692,-0.573571
2014-01-13 15:00:00,0.487593,2.148433,0.206847,-0.550931,-0.352207
2014-01-13 16:00:00,0.909840,0.680399,-1.029144,-1.835569,-0.006325
2014-01-13 17:00:00,-0.190887,-0.596850,1.305448,-0.783911,0.382030
2014-01-13 18:00:00,0.332020,0.975436,0.639124,-0.318460,1.116061
2014-01-13 19:00:00,0.316496,-2.220369,0.693773,0.113472,0.176400
2014-01-13 20:00:00,0.336120,-1.803128,-0.286848,0.165520,-0.853466
2014-01-13 21:00:00,-0.747334,0.015583,0.823163,1.615773,0.052938
2014-01-13 22:00:00,0.498012,0.747610,0.465097,-2.468788,3.021551
2014-01-13 23:00:00,-0.365877,-0.212446,0.605826,-0.478351,-1.460692
2014-01-14 00:00:00,0.848827,-2.789963,-1.179692,-1.620353,-1.338049
2014-01-14 01:00:00,-0.731213,1.505360,-2.460596,-0.667318,2.184520
2014-01-14 02:00:00,-1.871196,-1.573340,0.939072,-0.119822,-1.295864
2014-01-14 03:00:00,0.047542,0.764142,0.028147,-1.569645,-0.760394
2014-01-14 04:00:00,0.964706,1.476073,0.487814,0.017044,-1.298200
2014-01-14 05:00:00,0.004028,-1.115817,0.529967,0.167589,-1.341308
2014-01-14 06:00:00,0.110924,-0.955564,1.002360,-0.151788,0.480685
2014-01-14 07:00:00,0.554728,0.236580,-1.070487,-0.435380,0.081716
2014-01-14 08:00:00,0.083662,0.015034,-0.145776,2.272068,0.973628
2014-01-14 09:00:00,-0.364645,1.769092,0.264784,-0.302131,-1.354083
2014-01-14 10:00:00,0.656791,-1.399150,0.257654,-0.174096,-1.005687
2014-01-14 11:00:00,0.715843,0.487710,-1.235396,-1.281991,0.211400
2014-01-14 12:00:00,-0.901120,-0.737545,-1.869158,-0.804791,-0.242596
2014-01-14 13:00:00,-0.601604,-0.257844,-0.495741,-0.599224,0.276166
2014-01-14 14:00:00,0.008706,-0.230063,-2.072825,-0.969293,1.323269
2014-01-14 15:00:00,-1.359836,-0.209114,-1.301798,-1.229083,-0.614605
2014-01-14 16:00:00,-0.088979,1.712464,0.020671,-0.222404,-0.470891
2014-01-14 17:00:00,-0.650562,0.667533,1.856049,-1.489371,-0.016525
2014-01-14 18:00:00,0.309892,0.139439,2.348904,-1.940475,-0.163962
2014-01-14 19:00:00,-1.148241,0.593522,0.004804,0.275985,-0.098295
2014-01-14 20:00:00,-0.746579,-0.318515,0.949692,-0.372774,0.612129
2014-01-14 21:00:00,1.576886,0.259924,0.025561,-0.118550,3.176069
2014-01-14 22:00:00,0.956755,-1.503303,0.270023,-0.733178,0.688370
2014-01-14 23:00:00,-0.651082,-0.207542,-1.764230,-0.282373,-1.720635
2014-01-15 00:00:00,-0.456761,-1.695237,0.949725,0.100240,-0.177528
2014-01-15 01:00:00,0.395278,1.593994,1.540007,-1.432145,-0.683894
2014-01-15 02:00:00,-0.562002,2.107280,0.138377,-0.034561,-1.333257
2014-01-15 03:00:00,-0.221636,1.490983,1.474485,0.684037,0.682460
2014-01-15 04:00:00,1.778996,-0.677182,-2.064738,-0.422398,-0.719252
2014-01-15 05:00:00,-0.517787,0.660678,-0.322946,0.327181,0.464740
2014-01-15 06:00:00,0.106618,-0.286523,-1.185547,0.229417,-1.514670
2014-01-15 07:00:00,-0.266184,0.093274,0.717704,0.773530,1.109913
